Feiertag;Datum;Gesetzlicher Feiertag;Brückentag ;Brückentag_Die;Brückentag_Mit;Brückentag_Don;Langes Wochenende ;Langes_Wochenende_Mon;Langes_Wochenende_Fr;Langes_Wochenende_Sa;Langes_Wochenende_So;Langes_Wochenende_Die
Heiligabend;24.12.2012;0;0;0;0;0;0;0;0;0;0;0
Erster Weihnachtstag;25.12.2012;1;1;1;0;0;0;0;0;0;0;0
Zweiter Weihnachtstag;26.12.2012;1;1;0;1;0;0;0;0;0;0;0
Silvester;31.12.2012;0;0;0;0;0;0;0;0;0;0;0
Neujahr;01.01.2013;1;1;1;0;0;0;0;0;0;0;0
Heilige Drei Könige;06.01.2013;0;0;0;0;0;0;0;0;0;0;0
Altweiber;07.02.2013;0;0;0;0;0;0;0;0;0;0;0
Rosenmontag;11.02.2013;0;0;0;0;0;0;0;0;0;0;0
Veilchendienstag;12.02.2013;0;0;0;0;0;0;0;0;0;0;0
Aschermittwoch;13.02.2013;0;0;0;0;0;0;0;0;0;0;0
Valentinstag;14.02.2013;0;0;0;0;0;0;0;0;0;0;0
Grndonnerstag;28.03.2013;0;0;0;0;0;0;0;0;0;0;0
Karfreitag;29.03.2013;1;0;0;0;0;1;0;1;0;0;0
Ostersamstag;30.03.2013;0;0;0;0;0;1;0;0;1;0;0
Ostersonntag;31.03.2013;1;0;0;0;0;1;0;0;0;1;0
Ostermontag;01.04.2013;1;0;0;0;0;1;1;0;0;0;0
Erster Mai;01.05.2013;1;0;0;0;0;0;0;0;0;0;0
Himmelfahrt;09.05.2013;1;1;0;0;1;0;0;0;0;0;0
Pfingstsonntag;19.05.2013;1;0;0;0;0;0;0;0;0;0;0
Pfingstmontag;20.05.2013;1;0;0;0;0;1;1;0;0;0;0
Fronleichnam;30.05.2013;0;0;0;0;0;0;0;0;0;0;0
Maria Himmelfahrt;15.08.2013;0;0;0;0;0;0;0;0;0;0;0
Tag der Deutschen Einheit;03.10.2013;1;1;0;0;1;0;0;0;0;0;0
Reformationstag;31.10.2013;0;1;0;0;1;0;0;0;0;0;0
Allerheiligen;01.11.2013;0;0;0;0;0;0;0;0;0;0;0
Volkstrauertag;17.11.2013;0;0;0;0;0;0;0;0;0;0;0
Buá- und Bettag;20.11.2013;0;0;0;0;0;0;0;0;0;0;0
Totensonntag;24.11.2013;0;0;0;0;0;0;0;0;0;0;0
Nikolaus;06.12.2013;0;0;0;0;0;0;0;0;0;0;0
Heiligabend;24.12.2013;0;0;0;0;0;0;0;0;0;0;0
Erster Weihnachtstag;25.12.2013;1;1;0;1;0;0;0;0;0;0;0
Zweiter Weihnachtstag;26.12.2013;1;1;0;0;1;0;0;0;0;0;0
Silvester;31.12.2013;0;0;0;0;0;0;0;0;0;0;0
